region_1	region_2	n_pairs	RR	replicate_id
Senegal	Senegal	8	1	741
Senegal	Senegal	8	1	742
Senegal	Senegal	12	1	743
Senegal	Senegal	12	1	744
Senegal	Senegal	14	1	745
Senegal	Senegal	10	1	746
Senegal	Senegal	12	1	747
Senegal	Senegal	14	1	748
Senegal	Senegal	12	1	749
Senegal	Senegal	20	1	750
Senegal	Senegal	12	1	751
Senegal	Senegal	12	1	752
Senegal	Senegal	12	1	753
Senegal	Senegal	12	1	754
Senegal	Senegal	16	1	755
Senegal	Senegal	10	1	756
Senegal	Senegal	10	1	757
Senegal	Senegal	20	1	758
Senegal	Senegal	14	1	759
Senegal	Senegal	8	1	760
Senegal	Senegal	10	1	761
Senegal	Senegal	8	1	762
Senegal	Senegal	8	1	763
Senegal	Senegal	12	1	764
Senegal	Senegal	16	1	765
Senegal	Senegal	10	1	766
Senegal	Senegal	14	1	767
Senegal	Senegal	16	1	768
Senegal	Senegal	10	1	769
Senegal	Senegal	8	1	770
Senegal	Senegal	12	1	771
Senegal	Senegal	18	1	772
Senegal	Senegal	12	1	773
Senegal	Senegal	18	1	774
Senegal	Senegal	10	1	775
Senegal	Senegal	18	1	776
Senegal	Senegal	18	1	777
Senegal	Senegal	12	1	778
Senegal	Senegal	14	1	779
Senegal	Senegal	12	1	780
Senegal	Senegal	14	1	781
Senegal	Senegal	12	1	782
Senegal	Senegal	12	1	783
Senegal	Senegal	16	1	784
Senegal	Senegal	12	1	785
Senegal	Senegal	16	1	786
Senegal	Senegal	12	1	787
Senegal	Senegal	12	1	788
Senegal	Senegal	16	1	789
Senegal	Senegal	12	1	790
Senegal	Senegal	16	1	791
Senegal	Senegal	12	1	792
Senegal	Senegal	12	1	793
Senegal	Senegal	16	1	794
Senegal	Senegal	14	1	795
Senegal	Senegal	18	1	796
Senegal	Senegal	20	1	797
Senegal	Senegal	8	1	798
Senegal	Senegal	12	1	799
Senegal	Senegal	12	1	800
Senegal	Senegal	20	1	801
Senegal	Senegal	12	1	802
Senegal	Senegal	10	1	803
Senegal	Senegal	12	1	804
Senegal	Senegal	10	1	805
Senegal	Senegal	16	1	806
Senegal	Senegal	12	1	807
Senegal	Senegal	14	1	808
Senegal	Senegal	12	1	809
Senegal	Senegal	20	1	810
Senegal	Senegal	12	1	811
Senegal	Senegal	14	1	812
Senegal	Senegal	18	1	813
Senegal	Senegal	16	1	814
Senegal	Senegal	14	1	815
Senegal	Senegal	10	1	816
Senegal	Senegal	16	1	817
Senegal	Senegal	4	1	818
Senegal	Senegal	16	1	819
Senegal	Senegal	16	1	820
Senegal	Senegal	14	1	821
Senegal	Senegal	20	1	822
Senegal	Senegal	18	1	823
Senegal	Senegal	6	1	824
Senegal	Senegal	10	1	825
Senegal	Senegal	8	1	826
Senegal	Senegal	18	1	827
Senegal	Senegal	18	1	828
Senegal	Senegal	10	1	829
Senegal	Senegal	18	1	830
Senegal	Senegal	10	1	831
Senegal	Senegal	8	1	832
Senegal	Senegal	16	1	833
Senegal	Senegal	16	1	834
Senegal	Senegal	10	1	835
Senegal	Senegal	18	1	836
Senegal	Senegal	18	1	837
Senegal	Senegal	10	1	838
Senegal	Senegal	12	1	839
Senegal	Senegal	16	1	840
Senegal	Senegal	20	1	841
Senegal	Senegal	2	1	842
Senegal	Senegal	18	1	843
Senegal	Senegal	8	1	844
Senegal	Senegal	8	1	845
Senegal	Senegal	8	1	846
Senegal	Senegal	16	1	847
Senegal	Senegal	12	1	848
Senegal	Senegal	12	1	849
Senegal	Senegal	10	1	850
Senegal	Senegal	10	1	851
Senegal	Senegal	14	1	852
Senegal	Senegal	10	1	853
Senegal	Senegal	14	1	854
Senegal	Senegal	10	1	855
Senegal	Senegal	12	1	856
Senegal	Senegal	12	1	857
Senegal	Senegal	12	1	858
Senegal	Senegal	16	1	859
Senegal	Senegal	12	1	860
Senegal	Senegal	6	1	861
Senegal	Senegal	16	1	862
Senegal	Senegal	12	1	863
Senegal	Senegal	16	1	864
Senegal	Senegal	14	1	865
Senegal	Senegal	8	1	866
Senegal	Senegal	18	1	867
