Accession_ID	Genotype	Date	Host	Continent	Country	City	Longitude	Latitude
EPI_ISL_20153739	II-ECSA	2025-03-24	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153740	II-ECSA	2025-03-24	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153741	II-ECSA	2025-03-24	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153742	II-ECSA	2025-03-24	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153743	II-ECSA	2025-03-24	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153744	II-ECSA	2025-03-24	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153745	II-ECSA	2025-03-25	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153746	II-ECSA	2025-03-25	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153747	II-ECSA	2025-03-25	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153748	II-ECSA	2025-03-25	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153749	II-ECSA	2025-03-25	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153750	II-ECSA	2025-03-26	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153752	II-ECSA	2025-03-26	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153753	II-ECSA	2025-03-26	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153754	II-ECSA	2025-03-21	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153755	II-ECSA	2025-03-21	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153756	II-ECSA	2025-03-20	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153757	II-ECSA	2025-03-20	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153758	II-ECSA	2025-03-21	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
EPI_ISL_20153759	II-ECSA	2025-03-21	Human	South America	Brazil	Santa Catarina	-48.5	-27.6
